survey_type,description,file_format,default_weight,default_psu,default_strata,design_domains,domain_national,domain_urban_rural,domain_city_5,domain_province_24,representativity_message,notes
mensual,ENEMDU mensual,dta,fexp,upm,estrato,"Nacional; Urbano-Rural",TRUE,TRUE,FALSE,FALSE,"La base ENEMDU mensual permite inferencia para dominios de diseño nacional y urbano-rural. Otros dominios deben tratarse como dominios de análisis y evaluarse mediante criterios de precisión antes de reportar inferencia.","Apertura geográfica hasta nacional y urbano-rural."
trimestral,ENEMDU trimestral,dta,fexp,upm,estrato,"Nacional; Urbano-Rural; 5 ciudades principales",TRUE,TRUE,TRUE,FALSE,"La base ENEMDU trimestral permite inferencia para dominios de diseño nacional, urbano-rural y cinco ciudades principales: Quito, Guayaquil, Cuenca, Machala y Ambato. Otros dominios deben tratarse como dominios de análisis y evaluarse mediante criterios de precisión antes de reportar inferencia.","Apertura geográfica incluye cinco ciudades principales."
anual,ENEMDU anual,dta,fexp,upm,estrato,"Nacional; Urbano-Rural; 5 ciudades principales; 24 provincias",TRUE,TRUE,TRUE,TRUE,"La base ENEMDU anual permite inferencia para dominios de diseño nacional, urbano-rural, cinco ciudades principales y 24 provincias del Ecuador. Dominios más desagregados, como cantones u otras subpoblaciones, deben evaluarse mediante criterios de precisión antes de reportar inferencia.","Apertura geográfica incluye cinco ciudades principales y 24 provincias."
